Season,Team,Player,Position
2002/03,Man United,Juan Sebastián Verón,Central Midfield
2002/03,Man United,Kieran Richardson,Left-Back
2002/03,Man United,Laurent Blanc,Centre-Back
2002/03,Man United,Lee Roche,Right-Back
2002/03,Man United,Luke Chadwick,Attacking Midfield
2002/03,Man United,Mads Timm,Second Striker
2002/03,Man United,Mark Lynch,Right-Back
2002/03,Man United,Michael Stewart,Central Midfield
2002/03,Man United,Mikaël Silvestre,Left-Back
2002/03,Man United,Nicky Butt,Defensive Midfield
2002/03,Man United,Ole Gunnar Solskjaer,Centre-Forward
2002/03,Man United,Paul Scholes,Central Midfield
2002/03,Man United,Phil Neville,Right-Back
2002/03,Man United,Quinton Fortune,Left-Back
2002/03,Man United,Ricardo,Goalkeeper
2002/03,Man United,Rio Ferdinand,Centre-Back
2002/03,Man United,Roy Carroll,Goalkeeper
2002/03,Man United,Roy Keane,Central Midfield
2002/03,Man United,Ruud van Nistelrooy,Centre-Forward
2002/03,Man United,Ryan Giggs,Left Midfield
2002/03,Man United,Wes Brown,Centre-Back
2002/03,Middlesbrough,Alen Bokšić,Centre-Forward
2002/03,Middlesbrough,Allan Johnston,Right Midfield
2002/03,Middlesbrough,Andrew Davies,Centre-Back
2002/03,Middlesbrough,Brad Jones,Goalkeeper
2002/03,Middlesbrough,Brian Close,Right-Back
2002/03,Middlesbrough,Carlos Marinelli,Attacking Midfield
2002/03,Middlesbrough,Chris Riggott,Centre-Back
2002/03,Middlesbrough,Colin Cooper,Left-Back
2002/03,Middlesbrough,Craig Dove,Right Midfield
2002/03,Middlesbrough,David Murphy,Left-Back
2002/03,Middlesbrough,Dean Windass,Centre-Forward
2002/03,Middlesbrough,Doriva,Defensive Midfield
2002/03,Middlesbrough,Franck Queudrue,Left-Back
2002/03,Middlesbrough,Gareth Southgate,Centre-Back
2002/03,Middlesbrough,George Boateng,Defensive Midfield
2002/03,Middlesbrough,Jamie Cade,Right Winger
2002/03,Middlesbrough,Jason Gavin,Centre-Back
2002/03,Middlesbrough,John Eustace,Defensive Midfield
2002/03,Middlesbrough,Jonathan Greening,Central Midfield
2002/03,Middlesbrough,Joseph-Désiré Job,Centre-Forward
2002/03,Middlesbrough,Juninho Paulista,Attacking Midfield
2002/03,Middlesbrough,Luke Wilkshire,Right-Back
2002/03,Middlesbrough,Malcolm Christie,Centre-Forward
2002/03,Middlesbrough,Mark Crossley,Goalkeeper
2002/03,Middlesbrough,Mark Schwarzer,Goalkeeper
2002/03,Middlesbrough,Mark Wilson,Central Midfield
2002/03,Middlesbrough,Massimo Maccarone,Centre-Forward
2002/03,Middlesbrough,Michael Ricketts,Centre-Forward
2002/03,Middlesbrough,Njitap Geremi,Right Midfield
2002/03,Middlesbrough,Noel Whelan,Centre-Forward
2002/03,Middlesbrough,Phil Gulliver,Centre-Back
2002/03,Middlesbrough,Phil Stamp,Central Midfield
2002/03,Middlesbrough,Robbie Stockdale,Right-Back
2002/03,Middlesbrough,Sam Russell,Goalkeeper
2002/03,Middlesbrough,Stewart Downing,Left Midfield
2002/03,Middlesbrough,Stuart Parnaby,Right-Back
2002/03,Middlesbrough,Szilárd Németh,Second Striker
2002/03,Middlesbrough,Tony Vidmar,Left-Back
2002/03,Middlesbrough,Ugo Ehiogu,Centre-Back
2002/03,Newcastle,Aaron Hughes,Centre-Back
2002/03,Newcastle,Adam Collin,Goalkeeper
2002/03,Newcastle,Alan Shearer,Centre-Forward
2002/03,Newcastle,Andrew O'Brien,Centre-Back
2002/03,Newcastle,Andy Griffin,Right-Back
2002/03,Newcastle,Brian Kerr,Central Midfield
2002/03,Newcastle,Carl Cort,Centre-Forward
2002/03,Newcastle,Clarence Acuña,Defensive Midfield
2002/03,Newcastle,Craig Bellamy,Left Winger
2002/03,Newcastle,Darren Ambrose,Right Midfield
2002/03,Newcastle,Gary Speed,Central Midfield
2002/03,Newcastle,Hugo Viana,Central Midfield
2002/03,Newcastle,Jamie McClen,Central Midfield
2002/03,Newcastle,Jermaine Jenas,Central Midfield
2002/03,Newcastle,John Karelse,Goalkeeper
2002/03,Newcastle,Jonathan Woodgate,Centre-Back
2002/03,Newcastle,Jonny Brain,Goalkeeper
2002/03,Newcastle,Kieron Dyer,Right Midfield
2002/03,Newcastle,Laurent Robert,Left Winger
2002/03,Newcastle,Lomana LuaLua,Centre-Forward
2002/03,Newcastle,Michael Chopra,Centre-Forward
2002/03,Newcastle,Nikolaos Dabizas,Centre-Back
2002/03,Newcastle,Nolberto Solano,Right Midfield
2002/03,Newcastle,Olivier Bernard,Left-Back
2002/03,Newcastle,Richard Offiong,Centre-Forward
2002/03,Newcastle,Robbie Elliott,Left-Back
2002/03,Newcastle,Shay Given,Goalkeeper
2002/03,Newcastle,Shola Ameobi,Centre-Forward
2002/03,Newcastle,Steve Harper,Goalkeeper
2002/03,Newcastle,Steven Caldwell,Centre-Back
2002/03,Newcastle,Titus Bramble,Centre-Back
2002/03,Newcastle,Tony Caig,Goalkeeper
2002/03,Newcastle,Wayne Quinn,Left-Back
2002/03,Southampton,Agustín Delgado,Centre-Forward
2002/03,Southampton,Alan Blayney,Goalkeeper
2002/03,Southampton,Anders Svensson,Defensive Midfield
2002/03,Southampton,Andrey Kanchelskis,Right Midfield
2002/03,Southampton,Antti Niemi,Goalkeeper
2002/03,Southampton,Brett Ormerod,Centre-Forward
2002/03,Southampton,Chris Baird,Defensive Midfield
2002/03,Southampton,Chris Marsden,Central Midfield
2002/03,Southampton,Claus Lundekvam,Centre-Back
2002/03,Southampton,Danny Higginbotham,Centre-Back
2002/03,Southampton,Darren Kenton,Centre-Back
2002/03,Southampton,David Prutton,Central Midfield
2002/03,Southampton,Dexter Blackstock,Centre-Forward
2002/03,Southampton,Eric Hassli,Centre-Forward
2002/03,Southampton,Fabrice Fernandes,Left Winger
2002/03,Southampton,Federico Arias,Centre-Forward
2002/03,Southampton,Francis Benali,Left-Back
2002/03,Southampton,Garry Monk,Centre-Back
2002/03,Southampton,James Beattie,Centre-Forward
2002/03,Southampton,Jason Dodd,Right-Back
2002/03,Southampton,Jo Tessem,Central Midfield
2002/03,Southampton,Kevin Davies,Centre-Forward
2002/03,Southampton,Marians Pahars,Centre-Forward
2002/03,Southampton,Mark Draper,Central Midfield
2002/03,Southampton,Matt Oakley,Central Midfield
2002/03,Southampton,Michael Svensson,Centre-Back
2002/03,Southampton,Paul Jones,Goalkeeper
2002/03,Southampton,Paul Telfer,Right-Back
2002/03,Southampton,Paul Williams,Centre-Back
2002/03,Southampton,Rory Delap,Central Midfield
2002/03,Southampton,Tahar El Khalej,Centre-Back
2002/03,Southampton,Wayne Bridge,Left-Back
2002/03,Sunderland,Ben Clark,Centre-Back
2002/03,Sunderland,Bernt Haas,Right-Back
2002/03,Sunderland,Chris Black,Midfielder
2002/03,Sunderland,Claudio Reyna,Central Midfield
2002/03,Sunderland,Cliff Byrne,Right-Back
2002/03,Sunderland,Craig Turns,Goalkeeper
2002/03,Sunderland,Darren Williams,Right-Back
2002/03,Sunderland,David Bellion,Centre-Forward
2002/03,Sunderland,Gavin McCann,Central Midfield
2002/03,Sunderland,George McCartney,Left-Back
2002/03,Sunderland,Jason McAteer,Right Midfield
2002/03,Sunderland,Joachim Björklund,Centre-Back
2002/03,Sunderland,Jody Craddock,Centre-Back
2002/03,Sunderland,John Oster,Central Midfield
2002/03,Sunderland,Jonjo Dickman,Right Midfield
2002/03,Sunderland,Julio Arca,Central Midfield
2002/03,Sunderland,Jürgen Macho,Goalkeeper
2002/03,Sunderland,Kevin Kilbane,Left Midfield
2002/03,Sunderland,Kevin Kyle,Centre-Forward
2002/03,Sunderland,Kevin Phillips,Centre-Forward
2002/03,Sunderland,Marcus Stewart,Centre-Forward
2002/03,Sunderland,Mark Rossiter,Right-Back
2002/03,Sunderland,Mart Poom,Goalkeeper
2002/03,Sunderland,Matt Piper,Right Midfield
2002/03,Sunderland,Michael Gray,Left-Back
2002/03,Sunderland,Michael Ingham,Goalkeeper
2002/03,Sunderland,Michael Proctor,Centre-Forward
2002/03,Sunderland,Niall Quinn,Centre-Forward
2002/03,Sunderland,Nicolás Medina,Defensive Midfield
2002/03,Sunderland,Paul Thirlwell,Defensive Midfield
2002/03,Sunderland,Phil Babb,Centre-Back
2002/03,Sunderland,Richie Ryan,Defensive Midfield
2002/03,Sunderland,Sean Thornton,Central Midfield
2002/03,Sunderland,Stanislav Varga,Centre-Back
2002/03,Sunderland,Stefan Schwarz,Central Midfield
2002/03,Sunderland,Stephen Wright,Right-Back
2002/03,Sunderland,Talal El Karkouri,Centre-Back
2002/03,Sunderland,Thomas Butler,Right Midfield
2002/03,Sunderland,Thomas Myhre,Goalkeeper
2002/03,Sunderland,Thomas Sörensen,Goalkeeper
2002/03,Sunderland,Tore André Flo,Centre-Forward
2002/03,Sunderland,Émerson Thome,Centre-Back
2002/03,Tottenham,Anthony Gardner,Centre-Back
2002/03,Tottenham,Ben Thatcher,Left-Back
2002/03,Tottenham,Boubacar Djibolalahou,Midfielder
2002/03,Tottenham,Chris Perry,Centre-Back
2002/03,Tottenham,Christian Ziege,Left Midfield
2002/03,Tottenham,Darren Anderton,Right Midfield
2002/03,Tottenham,Dean Richards,Centre-Back
2002/03,Tottenham,Gary Doherty,Centre-Back
2002/03,Tottenham,Gavin Kelly,Goalkeeper
2002/03,Tottenham,Goran Bunjevcevic,Centre-Back
2002/03,Tottenham,Gustavo Poyet,Attacking Midfield
2002/03,Tottenham,Jamie Redknapp,Central Midfield
2002/03,Tottenham,Jamie Slabber,Centre-Forward
2002/03,Tottenham,Jonathan Blondel,Defensive Midfield
2002/03,Tottenham,Kasey Keller,Goalkeeper
2002/03,Tottenham,Kazuyuki Toda,Defensive Midfield
2002/03,Tottenham,Lars Hirschfeld,Goalkeeper
2002/03,Tottenham,Ledley King,Centre-Back
2002/03,Tottenham,Lee Barnard,Centre-Forward
2002/03,Tottenham,Les Ferdinand,Centre-Forward
2002/03,Tottenham,Mark Yeates,Left Winger
2002/03,Tottenham,Matthew Etherington,Left Midfield
2002/03,Tottenham,Mauricio Taricco,Left-Back
2002/03,Tottenham,Milenko Acimovic,Left Midfield
2002/03,Tottenham,Neil Sullivan,Goalkeeper
2002/03,Tottenham,Rob Burch,Goalkeeper
2002/03,Tottenham,Robbie Keane,Centre-Forward
2002/03,Tottenham,Rohan Ricketts,Right Midfield
2002/03,Tottenham,Ronnie Henry,Right-Back
2002/03,Tottenham,Sergiy Rebrov,Second Striker
2002/03,Tottenham,Simon Davies,Right Midfield
2002/03,Tottenham,Steffen Freund,Defensive Midfield
2002/03,Tottenham,Steffen Iversen,Second Striker
2002/03,Tottenham,Stephen Carr,Right-Back
2002/03,Tottenham,Stephen Clemence,Central Midfield
2002/03,Tottenham,Teddy Sheringham,Centre-Forward
2002/03,Tottenham,Øyvind Leonhardsen,Central Midfield
2002/03,West Brom,Adam Chambers,Defensive Midfield
2002/03,West Brom,Andy Johnson,Attacking Midfield
2002/03,West Brom,Bob Taylor,Centre-Forward
2002/03,West Brom,Brian Jensen,Goalkeeper
2002/03,West Brom,Danny Dichio,Centre-Forward
2002/03,West Brom,Darren Moore,Centre-Back
2002/03,West Brom,Derek McInnes,Defensive Midfield
2002/03,West Brom,Des Lyttle,Right Winger
2002/03,West Brom,Ifeanyi Udeze,Left-Back
2002/03,West Brom,Igor Balis,Right-Back
2002/03,West Brom,James Chambers,Right-Back
2002/03,West Brom,Jason Koumas,Attacking Midfield
2002/03,West Brom,Jason Roberts,Centre-Forward
2002/03,West Brom,Joe Murphy,Goalkeeper
2002/03,West Brom,Jordão,Central Midfield
2002/03,West Brom,Lee Hughes,Centre-Forward
2002/03,West Brom,Lee Marshall,Central Midfield
2002/03,West Brom,Lloyd Dyer,Left Midfield
2002/03,West Brom,Lárus Orri Sigurdsson,Centre-Back
2002/03,West Brom,Michael Appleton,Central Midfield
2002/03,West Brom,Neil Clement,Right-Back
2002/03,West Brom,Phil Gilchrist,Centre-Back
2002/03,West Brom,Ronnie Wallwork,Central Midfield
2002/03,West Brom,Russell Hoult,Goalkeeper
2002/03,West Brom,Scott Dobie,Centre-Forward
2002/03,West Brom,Sean Gregan,Centre-Back
2002/03,West Brom,Tamika Mkandawire,Centre-Back
2002/03,West Ham,Anton Ferdinand,Centre-Back
2002/03,West Ham,Billy Mehmet,Centre-Forward
2002/03,West Ham,Brent Rahim,Midfielder
2002/03,West Ham,Christian Dailly,Centre-Back
2002/03,West Ham,Clive Delaney,Centre-Back
2002/03,West Ham,Daryl McMahon,Attacking Midfield
2002/03,West Ham,David Forde,Goalkeeper
2002/03,West Ham,David James,Goalkeeper
2002/03,West Ham,David Noble,Central Midfield
2002/03,West Ham,Don Hutchison,Attacking Midfield
2002/03,West Ham,Frédéric Kanouté,Centre-Forward
2002/03,West Ham,Gary Breen,Centre-Back
2002/03,West Ham,Glen Johnson,Right-Back
2002/03,West Ham,Grant McCann,Central Midfield
2002/03,West Ham,Ian Pearce,Centre-Back
2002/03,West Ham,Izzy Iriekpen,Centre-Back
2002/03,West Ham,James Allen,Striker
2002/03,West Ham,Jermain Defoe,Centre-Forward
2002/03,West Ham,Joe Cole,Attacking Midfield
2002/03,West Ham,John Moncur,Central Midfield
2002/03,West Ham,Laurent Courtois,Left Midfield
2002/03,West Ham,Lee Bowyer,Central Midfield
2002/03,West Ham,Leon Britton,Central Midfield
2002/03,West Ham,Les Ferdinand,Centre-Forward
2002/03,West Ham,Michael Carrick,Defensive Midfield
2002/03,West Ham,Nigel Winterburn,Left-Back
2002/03,West Ham,Paolo Di Canio,Centre-Forward
2002/03,West Ham,Raimond van der Gouw,Goalkeeper
2002/03,West Ham,Richard García,Second Striker
2002/03,West Ham,Rufus Brevett,Left-Back
2002/03,West Ham,Scott Minto,Left-Back
2002/03,West Ham,Shaun Byrne,Left-Back
2002/03,West Ham,Stephen Bywater,Goalkeeper
2002/03,West Ham,Steve Lomas,Central Midfield
2002/03,West Ham,Sébastien Schemmel,Right-Back
2002/03,West Ham,Titi Camara,Centre-Forward
2002/03,West Ham,Tomas Repka,Centre-Back
2002/03,West Ham,Trevor Sinclair,Left Winger
2002/03,West Ham,Vladimír Labant,Left-Back
2002/03,West Ham,Youssef Sofiane,Centre-Forward
2002/03,West Ham,Édouard Cissé,Defensive Midfield
2003/04,Arsenal,Ashley Cole,Left-Back
2003/04,Arsenal,Cesc Fàbregas,Central Midfield
2003/04,Arsenal,Craig Holloway,Goalkeeper
2003/04,Arsenal,David Bentley,Right Midfield
2003/04,Arsenal,Dennis Bergkamp,Second Striker
2003/04,Arsenal,Edú Gaspar,Central Midfield
2003/04,Arsenal,Francis Jeffers,Centre-Forward
2003/04,Arsenal,Frank Simek,Right-Back
2003/04,Arsenal,Freddie Ljungberg,Right Midfield
2003/04,Arsenal,Gaël Clichy,Left-Back
2003/04,Arsenal,Gilberto Silva,Defensive Midfield
2003/04,Arsenal,Giovanni van Bronckhorst,Left-Back
2003/04,Arsenal,Graham Stack,Goalkeeper
2003/04,Arsenal,Jens Lehmann,Goalkeeper
2003/04,Arsenal,Jerome Thomas,Left Winger
2003/04,Arsenal,John Spicer,Central Midfield
2003/04,Arsenal,José Antonio Reyes,Right Winger
2003/04,Arsenal,Justin Hoyte,Right-Back
2003/04,Arsenal,Jérémie Aliadière,Centre-Forward
2003/04,Arsenal,Kolo Touré,Centre-Back
2003/04,Arsenal,Laurén,Right-Back
2003/04,Arsenal,Martin Keown,Centre-Back
2003/04,Arsenal,Michal Papadopulos,Centre-Forward
2003/04,Arsenal,Nwankwo Kanu,Centre-Forward
2003/04,Arsenal,Pascal Cygan,Centre-Back
2003/04,Arsenal,Patrick Vieira,Defensive Midfield
2003/04,Arsenal,Philippe Senderos,Centre-Back
2003/04,Arsenal,Quincy Owusu-Abeyie,Left Winger
2003/04,Arsenal,Rami Shaaban,Goalkeeper
2003/04,Arsenal,Ray Parlour,Central Midfield
2003/04,Arsenal,Robert Pirès,Left Midfield
2003/04,Arsenal,Ryan Smith,Left Winger
2003/04,Arsenal,Sol Campbell,Centre-Back
2003/04,Arsenal,Stathis Tavlaridis,Centre-Back
2003/04,Arsenal,Stuart Taylor,Goalkeeper
2003/04,Arsenal,Sylvain Wiltord,Second Striker
2003/04,Arsenal,Thierry Henry,Centre-Forward
2003/04,Arsenal,Ólafur Ingi Skúlason,Defensive Midfield
2003/04,Aston Villa,Alpay Özalan,Centre-Back
2003/04,Aston Villa,Darius Vassell,Centre-Forward
2003/04,Aston Villa,Dion Dublin,Centre-Forward
2003/04,Aston Villa,Gareth Barry,Defensive Midfield
2003/04,Aston Villa,Gavin McCann,Central Midfield
2003/04,Aston Villa,Hassan Kachloul,Left Midfield
2003/04,Aston Villa,Jlloyd Samuel,Left-Back
2003/04,Aston Villa,Juan Pablo Ángel,Centre-Forward
2003/04,Aston Villa,Lee Hendrie,Central Midfield
2003/04,Aston Villa,Liam Ridgewell,Centre-Back
2003/04,Aston Villa,Luke Moore,Centre-Forward
2003/04,Aston Villa,Marcus Allbäck,Centre-Forward
2003/04,Aston Villa,Mark Delaney,Right-Back
2003/04,Aston Villa,Mark Kinsella,Defensive Midfield
2003/04,Aston Villa,Mustapha Hadji,Attacking Midfield
2003/04,Aston Villa,Nolberto Solano,Right Midfield
2003/04,Aston Villa,Olof Mellberg,Centre-Back
2003/04,Aston Villa,Peter Crouch,Centre-Forward
2003/04,Aston Villa,Peter Whittingham,Central Midfield
2003/04,Aston Villa,Ronny Johnsen,Centre-Back
2003/04,Aston Villa,Stefan Moore,Centre-Forward
2003/04,Aston Villa,Stefan Postma,Goalkeeper
2003/04,Aston Villa,Steven Davis,Central Midfield
2003/04,Aston Villa,Thomas Hitzlsperger,Central Midfield
2003/04,Aston Villa,Thomas Sörensen,Goalkeeper
2003/04,Aston Villa,Ulises de la Cruz,Right-Back
2003/04,Aston Villa,Wayne Henderson,Goalkeeper
2003/04,Birmingham,Aliou Cissé,Defensive Midfield
2003/04,Birmingham,Andy Barrowman,Centre-Forward
2003/04,Birmingham,Bryan Hughes,Attacking Midfield
2003/04,Birmingham,Carl Motteram,Midfielder
2003/04,Birmingham,Christophe Dugarry,Centre-Forward
2003/04,Birmingham,Clinton Morrison,Centre-Forward
2003/04,Birmingham,Colin Doyle,Goalkeeper
2003/04,Birmingham,Damien Johnson,Right Midfield
2003/04,Birmingham,Darren Carter,Central Midfield
2003/04,Birmingham,Darren Purse,Centre-Back
2003/04,Birmingham,David Dunn,Attacking Midfield
2003/04,Birmingham,Geoff Horsfield,Centre-Forward
2003/04,Birmingham,Ian Bennett,Goalkeeper
2003/04,Birmingham,Jamie Clapham,Left-Back
2003/04,Birmingham,Jeff Kenna,Right-Back
2003/04,Birmingham,Jovan Kirovski,Right Winger
2003/04,Birmingham,Kenny Cunningham,Centre-Back
2003/04,Birmingham,Luciano Figueroa,Centre-Forward
2003/04,Birmingham,Maik Taylor,Goalkeeper
2003/04,Birmingham,Martin Grainger,Left-Back
2003/04,Birmingham,Martin Taylor,Centre-Back
2003/04,Birmingham,Matthew Upson,Centre-Back
2003/04,Birmingham,Mikael Forssell,Centre-Forward
2003/04,Birmingham,Nico Vaesen,Goalkeeper
2003/04,Birmingham,Olivier Tébily,Centre-Back
2003/04,Birmingham,Paul Devlin,Attacking Midfield
2003/04,Birmingham,Robbie Savage,Central Midfield
2003/04,Birmingham,Stan Lazaridis,Left Midfield
2003/04,Birmingham,Stephen Clemence,Central Midfield
2003/04,Birmingham,Stern John,Centre-Forward
2003/04,Blackburn,Alan Kelly,Goalkeeper
2003/04,Blackburn,Alan Mahon,Left Midfield
2003/04,Blackburn,Alan Morgan,Left Midfield
2003/04,Blackburn,Andy Cole,Centre-Forward
2003/04,Blackburn,Andy Todd,Centre-Back
2003/04,Blackburn,Barry Ferguson,Defensive Midfield
2003/04,Blackburn,Brad Friedel,Goalkeeper
2003/04,Blackburn,Brett Emerton,Right Midfield
2003/04,Blackburn,Ciaran Donnelly,Central Midfield
2003/04,Blackburn,Corrado Grabbi,Centre-Forward
2003/04,Blackburn,Craig Short,Centre-Back
2003/04,Blackburn,David Thompson,Right Midfield
2003/04,Blackburn,David Yelldell,Goalkeeper
2003/04,Blackburn,Dino Baggio,Defensive Midfield
2003/04,Blackburn,Dwight Yorke,Centre-Forward
2003/04,Blackburn,Garry Flitcroft,Central Midfield
2003/04,Blackburn,Gary Harkins,Attacking Midfield
2003/04,Blackburn,Jay McEveley,Centre-Back
2003/04,Blackburn,Jon Stead,Centre-Forward
2003/04,Blackburn,Jonathan Douglas,Central Midfield
2003/04,Blackburn,Lorenzo Amoruso,Centre-Back
2003/04,Blackburn,Lucas Neill,Right-Back
2003/04,Blackburn,Markus Babbel,Centre-Back
2003/04,Blackburn,Martin Andresen,Central Midfield
2003/04,Blackburn,Martin Taylor,Centre-Back
2003/04,Blackburn,Matt Jansen,Centre-Forward
2003/04,Blackburn,Michael Gray,Left-Back
2003/04,Blackburn,Neil Danns,Central Midfield
2003/04,Blackburn,Nils-Eric Johansson,Left-Back
2003/04,Blackburn,Paul Gallagher,Central Midfield
2003/04,Blackburn,Peter Enckelman,Goalkeeper
2003/04,Blackburn,Sean Hessey,Centre-Back
2003/04,Blackburn,Steven Reid,Right-Back
2003/04,Blackburn,Tugay Kerimoğlu,Defensive Midfield
2003/04,Blackburn,Vratislav Gresko,Left-Back
2003/04,Bolton,Anthony Barness,Left-Back
2003/04,Bolton,Bruno N'Gotty,Centre-Back
2003/04,Bolton,Charlie Comyn-Platt,Centre-Back
2003/04,Bolton,Cleveland Taylor,Right Midfield
2003/04,Bolton,Danny Livesey,Centre-Back
2003/04,Bolton,Delroy Facey,Centre-Forward
2003/04,Bolton,Donovan Ricketts,Goalkeeper
2003/04,Bolton,Dwight Pezzarossi,Centre-Forward
2003/04,Bolton,Florent Laville,Centre-Back
2003/04,Bolton,Glen Little,Right Winger
2003/04,Bolton,Henrik Pedersen,Centre-Forward
2003/04,Bolton,Ibrahim Bá,Right Midfield
2003/04,Bolton,Iván Campo,Defensive Midfield
2003/04,Bolton,Jardel,Centre-Forward
2003/04,Bolton,Jason Talbot,Left-Back
2003/04,Bolton,Javi Moreno,Centre-Forward
2003/04,Bolton,Jay-Jay Okocha,Attacking Midfield
2003/04,Bolton,Jeff Smith,Attacking Midfield
2003/04,Bolton,Jeremy Bon,Goalkeeper
2003/04,Bolton,Jon Otsemobor,Right-Back
2003/04,Bolton,Jussi Jääskeläinen,Goalkeeper
2003/04,Bolton,Kevin Davies,Centre-Forward
2003/04,Bolton,Kevin Nolan,Attacking Midfield
2003/04,Bolton,Kevin Poole,Goalkeeper
2003/04,Bolton,Nicky Hunt,Right-Back
2003/04,Bolton,Per Frandsen,Right Midfield
2003/04,Bolton,Ricardo Gardner,Left-Back
2003/04,Bolton,Ricardo Vaz Tê,Right Winger
2003/04,Bolton,Ricky Shakes,Right Midfield
2003/04,Bolton,Simon Charlton,Left-Back
2003/04,Bolton,Stelios Giannakopoulos,Right Winger
2003/04,Bolton,Steve Howey,Centre-Back
2003/04,Bolton,Youri Djorkaeff,Attacking Midfield
2003/04,Bolton,Émerson Thome,Centre-Back
2003/04,Charlton,Adrian Deane,Midfielder
2003/04,Charlton,Carlton Cole,Centre-Forward
2003/04,Charlton,Chris Perry,Centre-Back
2003/04,Charlton,Chris Powell,Left-Back
2003/04,Charlton,Claus Jensen,Attacking Midfield
2003/04,Charlton,Dean Kiely,Goalkeeper
2003/04,Charlton,Gary Rowett,Right-Back
2003/04,Charlton,Graham Stuart,Right Winger
2003/04,Charlton,Hermann Hreidarsson,Left-Back
2003/04,Charlton,Jamal Campbell-Ryce,Right Winger
2003/04,Charlton,Jason Euell,Left Winger
2003/04,Charlton,Jerome Thomas,Left Winger
2003/04,Charlton,Jonatan Johansson,Centre-Forward
2003/04,Charlton,Jonathan Fortune,Centre-Back
2003/04,Charlton,Kevin Lisbie,Centre-Forward
2003/04,Charlton,Lloyd Sam,Right Winger
2003/04,Charlton,Luke Young,Right-Back
2003/04,Charlton,Mark Fish,Centre-Back
2003/04,Charlton,Mathias Svensson,Centre-Forward
2003/04,Charlton,Matt Holland,Central Midfield
2003/04,Charlton,Michael Turner,Centre-Back
2003/04,Charlton,Osei Sankofa,Right-Back
2003/04,Charlton,Paolo Di Canio,Centre-Forward
2003/04,Charlton,Paul Konchesky,Left-Back
2003/04,Charlton,Radostin Kishishev,Defensive Midfield
2003/04,Charlton,Richard Rufus,Centre-Back
2003/04,Charlton,Scott Parker,Central Midfield
2003/04,Charlton,Shaun Bartlett,Centre-Forward
2003/04,Charlton,Simon Royce,Goalkeeper
2003/04,Charlton,Stephen Hughes,Central Midfield
2003/04,Charlton,Sérgio Leite,Goalkeeper
2003/04,Chelsea,Adrian Mutu,Left Winger
2003/04,Chelsea,Alexis Nicolas,Defensive Midfield
2003/04,Chelsea,Carlo Cudicini,Goalkeeper
2003/04,Chelsea,Carlton Cole,Centre-Forward
2003/04,Chelsea,Celestine Babayaro,Left-Back
2003/04,Chelsea,Claude Makélélé,Defensive Midfield
2003/04,Chelsea,Craig Rocastle,Right Midfield
2003/04,Chelsea,Damien Duff,Right Midfield
2003/04,Chelsea,Eidur Gudjohnsen,Centre-Forward
2003/04,Chelsea,Emmanuel Petit,Defensive Midfield
2003/04,Chelsea,Filipe Oliveira,Right Winger
2003/04,Chelsea,Frank Lampard,Central Midfield
2003/04,Chelsea,Glen Johnson,Right-Back
2003/04,Chelsea,Hernán Crespo,Centre-Forward
2003/04,Chelsea,Jesper Grønkjær,Left Winger
2003/04,Chelsea,Jimmy Floyd Hasselbaink,Centre-Forward
2003/04,Chelsea,Joe Cole,Attacking Midfield
2003/04,Chelsea,Joel Kitamirike,Centre-Back
2003/04,Chelsea,John Terry,Centre-Back
2003/04,Chelsea,Juan Sebastián Verón,Central Midfield
2003/04,Chelsea,Marcel Desailly,Centre-Back
2003/04,Chelsea,Marco Ambrosio,Goalkeeper
2003/04,Chelsea,Mario Melchiot,Right-Back
2003/04,Chelsea,Mario Stanic,Right Winger
2003/04,Chelsea,Mikael Forssell,Centre-Forward
2003/04,Chelsea,Neil Sullivan,Goalkeeper
2003/04,Chelsea,Njitap Geremi,Right Midfield
2003/04,Chelsea,Robert Huth,Centre-Back
2003/04,Chelsea,Scott Parker,Central Midfield
2003/04,Chelsea,Wayne Bridge,Left-Back
2003/04,Chelsea,William Gallas,Centre-Back
2003/04,Chelsea,Yves Makabu-Makalambay,Goalkeeper
2003/04,Everton,Alan Stubbs,Centre-Back
2003/04,Everton,Alessandro Pistone,Left-Back
2003/04,Everton,Alex Nyarko,Central Midfield
2003/04,Everton,David Unsworth,Left-Back
2003/04,Everton,David Weir,Centre-Back
2003/04,Everton,Duncan Ferguson,Centre-Forward
2003/04,Everton,Francis Jeffers,Centre-Forward
2003/04,Everton,Gary Naysmith,Left-Back
2003/04,Everton,Iain Turner,Goalkeeper
2003/04,Everton,James McFadden,Left Winger
2003/04,Everton,Joseph Yobo,Centre-Back
2003/04,Everton,Kevin Campbell,Centre-Forward
2003/04,Everton,Kevin Kilbane,Left Midfield
2003/04,Everton,Lee Carsley,Defensive Midfield
2003/04,Everton,Leon Osman,Central Midfield
2003/04,Everton,Mark Pembridge,Left Midfield
2003/04,Everton,Nick Chadwick,Centre-Forward
2003/04,Everton,Nigel Martyn,Goalkeeper
2003/04,Everton,Peter Clarke,Centre-Back
2003/04,Everton,Richard Wright,Goalkeeper
2003/04,Everton,Scot Gemmill,Central Midfield
2003/04,Everton,Steve Simonsen,Goalkeeper
2003/04,Everton,Steve Watson,Right-Back
2003/04,Everton,Thomas Gravesen,Defensive Midfield
2003/04,Everton,Tie Li,Defensive Midfield
2003/04,Everton,Tobias Linderoth,Defensive Midfield
